P,T,Package,Snippet,Used?,Runs?,Error
1,1,file-system,"var fs = require('file-system');
 
fs.mkdir('1/2/3/4/5', [mode], function(err) {});
fs.mkdirSync('1/2/3/4/5', [mode]);
fs.writeFile('path/test.txt', 'aaa', function(err) {})",0,0,mode undefined
1,1,file-system,"var file = require('file-system');
var fs = require('fs');
 
file.readFile === fs.readFile // true",1,1,
1,1,file-system,"fs.copyFile('deom.png', 'dest/demo.png', {
  done: function(err) {
    console.log('done');
  }
});",0,0,fs undefined
1,1,file-system,"fs.copyFileSync('demo.png', 'dest/demo.png');
fs.copyFileSync('demo.css', 'dest/demo.css', {
  process: function(contents) {
    return contents;
  }
})",0,0,fs undefined
1,1,file-system,"fs.recurse('path', function(filepath, relative, filename) { });
 
fs.recurse('path', [
  '*.css',
  '**/*.js', 
  'path/*.html',
  '!**/path/*.js'
], function(filepath, relative, filename) {  
  if (filename) {
  // it's file
  } else {
  // it's folder
  }
});
 
//  Only using files
fs.recurse('path', function(filepath, relative, filename) {  
  if (!filename) return;
});",0,0,fs undefined
1,1,file-system,"fs.recurseSync('path', function(filepath, relative, filename) {
  
});
 
fs.recurseSync('path', ['**/*.js', 'path/**/*.html'], function(filepath, relative, filename) {
  
});",0,0,fs undefined
1,1,file-system,fs.rmdirSync('path');,0,0,fs undefined
1,1,file-system,"fs.copySync('path', 'dest', { clear: true });
 
fs.copySync('src', 'dest/src');
 
fs.copySync('src', 'dest/src', { filter: ['*.js', 'path/**/*.css'] });
 
fs.copySync('path', 'dest', { 
  noProcess: '**/*.{jpg, png}',            // Don't process images
  process: function(contents, filepath, relative) {
    // only process file content
    return contents;
    // or custom destpath
    return {
      contents: '',
      filepath: ''
    };
  } 
});
 
//Handler self files
fs.copySync('path', 'path', { filter: ['*.html.js'], process: function(contents, filepath) {} })",0,0,fs undefined
1,1,fs-extra,const fs = require('fs'),0,1,
1,1,fs-extra,const fs = require('fs-extra'),0,1,
1,1,fs-extra,const fse = require('fs-extra'),0,1,
1,1,fs-extra,"const fs = require('fs')
const fse = require('fs-extra')",0,1,
1,1,fs-extra,"const fs = require('fs-extra')

// Async with promises:
fs.copy('/tmp/myfile', '/tmp/mynewfile')
  .then(() => console.log('success!'))
  .catch(err => console.error(err))

// Async with callbacks:
fs.copy('/tmp/myfile', '/tmp/mynewfile', err => {
  if (err) return console.error(err)
  console.log('success!')
})

// Sync:
try {
  fs.copySync('/tmp/myfile', '/tmp/mynewfile')
  console.log('success!')
} catch (err) {
  console.error(err)
}

// Async/Await:
async function copyFiles () {
  try {
    await fs.copy('/tmp/myfile', '/tmp/mynewfile')
    console.log('success!')
  } catch (err) {
    console.error(err)
  }
}

copyFiles()",0,0,Unknown file
